spending_level,optimal_gdp,solution_count,revenue_min,revenue_max,revenue_range,jobs_min,jobs_max,jobs_range,capital_min,capital_max,wage_min,wage_max,p20_min,p20_max,equity_ratio_min,equity_ratio_max,stage2_solution_count,stage3_solution_count,stage3_capital_range,stage3_wage_range,stage3_equity_ratio_range
-4000,0.1265,100,603.0500000000005,1004.150000000001,401.1000000000005,3262120,3409824,147704,0.07300000000000001,0.07450000000000001,0.032999999999999995,0.037500000000000006,0.06050000000000001,0.0675,1.0431034482758623,1.2162162162162165,100,0,,,
-3500,0.126,100,618.3000000000006,659.2800000000008,40.98000000000013,3283145,3317492,34347,0.07200000000000001,0.07400000000000001,0.032999999999999995,0.0335,0.063,0.0645,1.1250000000000002,1.216981132075472,100,0,,,
-3000,0.125,1,812.400000000001,812.400000000001,0.0,3213540,3213540,0,0.07100000000000001,0.07100000000000001,0.028500000000000004,0.028500000000000004,0.05950000000000001,0.05950000000000001,1.1900000000000004,1.1900000000000004,1,1,,,
-2500,0.1235,100,600.400000000001,767.0000000000009,166.5999999999999,2976343,3213540,237197,0.052000000000000005,0.07100000000000001,0.027000000000000003,0.033,0.054000000000000006,0.06050000000000001,1.09433962264151,1.8906250000000004,100,0,,,
-2000,0.1225,2,680.680000000001,680.680000000001,0.0,3002108,3002108,0,0.068,0.068,0.028000000000000004,0.028000000000000004,0.05650000000000001,0.05650000000000001,1.948275862068966,1.948275862068966,100,100,0.0,0.0,0.0
-1500,0.121,100,611.3100000000017,668.7900000000008,57.47999999999911,2891232,3068300,177068,0.0485,0.067,0.026500000000000003,0.028499999999999998,0.05450000000000001,0.05550000000000002,1.3797468354430387,3.1142857142857143,100,0,,,
-1000,0.119,100,603.4100000000007,692.0200000000003,88.60999999999967,2711892,3044834,332942,0.044,0.0645,0.026500000000000003,0.028000000000000004,0.049500000000000016,0.05450000000000002,1.3896103896103904,4.166666666666669,100,0,,,
-500,0.11699999999999999,100,602.1300000000007,683.09,80.95999999999935,2673203,2824393,151190,0.041499999999999995,0.0615,0.025,0.027500000000000004,0.0265,0.049500000000000016,1.222222222222222,20.999999999999975,100,0,,,
0,0.11549999999999999,1,608.3700000000001,608.3700000000001,0.0,2673203,2673203,0,0.041499999999999995,0.041499999999999995,0.026500000000000003,0.026500000000000003,0.0265,0.0265,6.625000000000005,6.625000000000005,1,1,,,
500,0.11349999999999999,100,602.3700000000003,673.5100000000003,71.13999999999999,2487538,2594874,107336,0.03899999999999999,0.055999999999999994,0.0235,0.025,0.017500000000000005,0.018500000000000006,1.206896551724138,2.0588235294117667,100,0,,,
1000,0.11149999999999999,100,604.9100000000003,613.0800000000006,8.1700000000003,2487538,2492057,4519,0.036500000000000005,0.03899999999999999,0.024,0.0245,0.016500000000000004,0.017500000000000005,2.0588235294117667,4.125000000000004,100,0,,,
1500,0.1085,1,608.4100000000004,608.4100000000004,0.0,2213449,2213449,0,0.0655,0.0655,0.0235,0.0235,0.020500000000000008,0.020500000000000008,2.928571428571433,2.928571428571433,1,1,,,
2000,0.10649999999999998,100,624.230000000001,639.220000000001,14.990000000000009,1136309,1137057,748,0.068,0.0685,0.028999999999999998,0.028999999999999998,0.028499999999999994,0.028499999999999994,18.999999999999716,28.499999999999375,100,0,,,
2500,0.10449999999999998,100,607.8800000000009,695.2400000000006,87.35999999999967,944756,1175403,230647,0.065,0.067,0.027000000000000003,0.0305,0.026499999999999992,0.028000000000000008,3.1764705882352895,3963167672086037.5,100,0,,,
3000,0.10250000000000001,100,601.9500000000005,711.4300000000004,109.4799999999999,913423,1113726,200303,0.0505,0.0655,0.027999999999999997,0.029999999999999992,0.021500000000000016,0.026500000000000006,7.166666666666632,3594402337891935.5,100,0,,,
3500,0.1,100,603.5200000000002,650.5600000000002,47.039999999999964,920614,931328,10714,0.0605,0.062,0.027499999999999997,0.027999999999999997,0.0195,0.021,19.999999999999698,1362543596353546.5,100,0,,,
4000,0.097,100,602.1300000000009,618.3000000000004,16.169999999999504,687467,688655,1188,0.043,0.0445,0.025499999999999995,0.025500000000000002,0.020000000000000007,0.021000000000000008,6.6666666666666625,13.99999999999999,100,0,,,
4500,0.0925,100,603.6100000000005,693.7500000000005,90.13999999999999,486023,513667,27644,0.061,0.0625,0.022,0.0235,0.02150000000000001,0.02300000000000001,21.999999999999826,2916213217534967.0,100,0,,,
5000,0.087,100,602.6999999999996,602.6999999999996,0.0,12270,12270,0,0.057999999999999996,0.057999999999999996,0.022,0.022,0.019500000000000007,0.019500000000000007,4.496393867966705e+16,4.496393867966705e+16,100,100,0.0,0.0,0.0
5500,0.0445,100,604.6999999999996,605.6999999999996,1.0,12270,12270,0,0.057999999999999996,0.057999999999999996,0.022,0.022,0.019500000000000007,0.019500000000000007,4.496393867966705e+16,4.496393867966705e+16,100,100,0.0,0.0,0.0
