Defense_Spending_B,GDP,Jobs,Revenue,Capital,Wage,P20,P40-60,P80-100,P99
-4000,0.1265,3410572.0,624.6200000000001,0.0735,0.033,0.065,0.0615,0.061000000000000006,0.056499999999999995
-3500,0.126,3317492.0,644.29,0.0725,0.0335,0.0645,0.0605,0.060000000000000005,0.05349999999999999
-3000,0.125,3214288.0,797.4099999999994,0.0715,0.0285,0.059500000000000004,0.056499999999999995,0.05600000000000001,0.050499999999999996
-2500,0.1235,3214288.0,607.8400000000001,0.0715,0.028999999999999998,0.059500000000000004,0.056499999999999995,0.05600000000000001,0.050499999999999996
-2000,0.1225,3002856.0,665.6900000000003,0.06849999999999999,0.028,0.0565,0.0475,0.04700000000000001,0.029499999999999995
-1500,0.121,3068300.0,653.7999999999995,0.0645,0.0275,0.0545,0.0445,0.044000000000000004,0.03949999999999999
-1000,0.119,3044834.0,608.3599999999994,0.0635,0.027,0.0535,0.0435,0.043000000000000003,0.03849999999999999
-500,0.11699999999999999,2870309.0,635.0800000000003,0.044,0.0255,0.0315,0.0385,0.031000000000000007,0.015499999999999993
0,0.11549999999999999,2690221.0,610.0800000000003,0.041499999999999995,0.025,0.026500000000000003,0.0295,0.024000000000000004,0.011999999999999993
500,0.11349999999999999,2594874.0,608.0600000000002,0.055999999999999994,0.0245,0.0175,0.0185,0.017000000000000005,0.014499999999999996
1000,0.11149999999999999,2492057.0,604.9100000000005,0.0365,0.024,0.0165,0.017499999999999998,0.014000000000000005,0.003999999999999993
1500,0.1085,2213449.0,608.4099999999997,0.0655,0.0235,0.0205,0.022499999999999996,0.015000000000000003,0.0069999999999999915
2000,0.10599999999999998,1185861.0,707.2300000000009,0.06799999999999999,0.028,0.0285,0.014499999999999999,0.014000000000000002,0.0014999999999999974
2500,0.10449999999999998,1176151.0,605.6000000000013,0.066,0.0285,0.0275,0.0135,0.013000000000000001,0.0014999999999999974
3000,0.10250000000000001,1113726.0,619.820000000001,0.0655,0.028,0.0265,0.0115,0.007000000000000002,-2.6020852139652106e-18
3500,0.1,931328.0,618.5300000000007,0.062,0.028,0.02,0.0015,0.0010000000000000018,0.0009999999999999974
4000,0.097,688655.0,603.3100000000002,0.0435,0.0255,0.02,0.003499999999999999,3.469446951953614e-18,0.002999999999999995
4500,0.0925,514415.0,635.0499999999997,0.063,0.0235,0.023,0.005999999999999999,0.005500000000000003,0.0014999999999999966
5000,0.087,12270.0,602.6999999999997,0.057999999999999996,0.022,0.0195,0.002499999999999999,0.0020000000000000035,-1.734723475976807e-18
5500,0.0445,12270.0,605.7000000000003,0.057999999999999996,0.022,0.0195,0.002499999999999999,0.0020000000000000035,-1.734723475976807e-18
